time,BTC,BSV,ETH,BCH,LTC,EOS,XRP,BNB,XTZ,XLM,DOGE,BTC_lag1,BSV_lag1,ETH_lag1,BCH_lag1,LTC_lag1,EOS_lag1,XRP_lag1,BNB_lag1,XTZ_lag1,XLM_lag1,DOGE_lag1
2021-06-12 00:00:00,37445.32,162.46,2452.14,591.51,164.25,4.918,0.8472,345.0,3.236,0.3437,0.3191,37665.85,175.95,2497.64,610.98,173.69,5.388,0.8789,365.07,3.367,0.3429,0.333
2021-06-13 00:00:00,39374.68,181.2,2549.74,615.12,171.66,5.128,0.8881,379.72,3.322,0.3485,0.33,37445.32,162.46,2452.14,591.51,164.25,4.918,0.8472,345.0,3.236,0.3437,0.3191
2021-06-14 00:00:00,41025.42,178.64,2608.81,641.58,180.07,5.322,0.929,381.36,3.354,0.3499,0.3374,39374.68,181.2,2549.74,615.12,171.66,5.128,0.8881,379.72,3.322,0.3485,0.33
2021-06-15 00:00:00,41307.06,173.7,2639.89,649.89,181.1,5.394,0.9015,377.4,3.392,0.3517,0.3305,41025.42,178.64,2608.81,641.58,180.07,5.322,0.929,381.36,3.354,0.3499,0.3374
2021-06-16 00:00:00,40487.98,164.23,2554.51,627.63,177.22,5.231,0.8728,350.32,3.327,0.342,0.3213,41307.06,173.7,2639.89,649.89,181.1,5.394,0.9015,377.4,3.392,0.3517,0.3305
2021-06-17 00:00:00,39537.42,164.55,2458.97,620.63,173.31,5.08,0.8612,353.4,3.434,0.33,0.3139,40487.98,164.23,2554.51,627.63,177.22,5.231,0.8728,350.32,3.327,0.342,0.3213
2021-06-18 00:00:00,38201.23,157.8,2377.33,599.3,167.35,4.889,0.8445,338.81,3.382,0.3185,0.3075,39537.42,164.55,2458.97,620.63,173.31,5.08,0.8612,353.4,3.434,0.33,0.3139
2021-06-19 00:00:00,36443.26,158.97,2278.35,581.66,160.79,4.702,0.8057,339.31,3.176,0.3064,0.2974,38201.23,157.8,2377.33,599.3,167.35,4.889,0.8445,338.81,3.382,0.3185,0.3075
2021-06-20 00:00:00,36139.95,156.19,2276.61,560.64,156.14,4.534,0.7844,340.61,3.116,0.299,0.289,36443.26,158.97,2278.35,581.66,160.79,4.702,0.8057,339.31,3.176,0.3064,0.2974
2021-06-21 00:00:00,35760.61,137.63,2259.39,559.4,155.42,4.524,0.7798,341.85,3.097,0.3023,0.281,36139.95,156.19,2276.61,560.64,156.14,4.534,0.7844,340.61,3.116,0.299,0.289
2021-06-22 00:00:00,33312.87,127.51,1998.75,477.46,133.01,3.765,0.6494,290.75,2.658,0.2591,0.2161,35760.61,137.63,2259.39,559.4,155.42,4.524,0.7798,341.85,3.097,0.3023,0.281
2021-06-23 00:00:00,34831.93,130.27,2044.91,485.61,135.35,3.807,0.6648,300.21,2.784,0.2698,0.2471,33312.87,127.51,1998.75,477.46,133.01,3.765,0.6494,290.75,2.658,0.2591,0.2161
2021-06-24 00:00:00,35267.23,137.8,2034.57,495.4,137.34,3.926,0.6913,318.88,2.842,0.2732,0.2688,34831.93,130.27,2044.91,485.61,135.35,3.807,0.6648,300.21,2.784,0.2698,0.2471
2021-06-25 00:00:00,35494.5,123.15,2019.45,496.77,138.36,4.023,0.6888,314.62,2.877,0.2742,0.289,35267.23,137.8,2034.57,495.4,137.34,3.926,0.6913,318.88,2.842,0.2732,0.2688
2021-06-26 00:00:00,32680.58,128.16,1851.36,464.26,129.32,3.656,0.6323,290.1,2.619,0.2493,0.255,35494.5,123.15,2019.45,496.77,138.36,4.023,0.6888,314.62,2.877,0.2742,0.289
2021-06-27 00:00:00,34754.5,141.77,1984.58,497.8,132.63,3.779,0.6522,310.13,2.628,0.2596,0.2665,32680.58,128.16,1851.36,464.26,129.32,3.656,0.6323,290.1,2.619,0.2493,0.255
2021-06-28 00:00:00,35292.57,170.16,2143.6,518.19,139.52,3.944,0.6563,296.83,2.736,0.2695,0.2662,34754.5,141.77,1984.58,497.8,132.63,3.779,0.6522,310.13,2.628,0.2596,0.2665
2021-06-29 00:00:00,36624.75,171.9,2245.38,547.04,149.18,4.291,0.7322,311.59,2.989,0.2936,0.275,35292.57,170.16,2143.6,518.19,139.52,3.944,0.6563,296.83,2.736,0.2695,0.2662
2021-06-30 00:00:00,36090.37,150.32,2287.05,533.86,146.73,4.3,0.7135,304.88,3.044,0.2859,0.2635,36624.75,171.9,2245.38,547.04,149.18,4.291,0.7322,311.59,2.989,0.2936,0.275
2021-07-01 00:00:00,35065.41,151.41,2277.05,504.15,144.35,4.206,0.706,303.92,3.064,0.2844,0.2591,36090.37,150.32,2287.05,533.86,146.73,4.3,0.7135,304.88,3.044,0.2859,0.2635
2021-07-02 00:00:00,33968.47,147.15,2159.25,504.03,138.96,4.003,0.6672,290.62,2.977,0.2733,0.2482,35065.41,151.41,2277.05,504.15,144.35,4.206,0.706,303.92,3.064,0.2844,0.2591
2021-07-03 00:00:00,34944.91,148.75,2238.77,514.69,141.31,4.063,0.6844,303.12,3.027,0.2699,0.25,33968.47,147.15,2159.25,504.03,138.96,4.003,0.6672,290.62,2.977,0.2733,0.2482
2021-07-04 00:00:00,35945.36,153.19,2387.73,539.2,147.98,4.186,0.709,314.86,3.108,0.2722,0.2525,34944.91,148.75,2238.77,514.69,141.31,4.063,0.6844,303.12,3.027,0.2699,0.25
2021-07-05 00:00:00,35290.8,145.87,2323.53,527.04,144.95,4.062,0.696,307.82,3.041,0.2681,0.2466,35945.36,153.19,2387.73,539.2,147.98,4.186,0.709,314.86,3.108,0.2722,0.2525
2021-07-06 00:00:00,35096.65,146.74,2349.66,525.73,142.68,4.007,0.6795,322.58,2.984,0.2679,0.2419,35290.8,145.87,2323.53,527.04,144.95,4.062,0.696,307.82,3.041,0.2681,0.2466
2021-07-07 00:00:00,35066.82,142.2,2408.53,521.76,142.88,3.98,0.6736,339.76,2.964,0.2658,0.2381,35096.65,146.74,2349.66,525.73,142.68,4.007,0.6795,322.58,2.984,0.2679,0.2419
2021-07-08 00:00:00,33934.31,146.88,2324.72,510.77,137.75,3.838,0.6541,328.22,2.896,0.2598,0.2246,35066.82,142.2,2408.53,521.76,142.88,3.98,0.6736,339.76,2.964,0.2658,0.2381
2021-07-09 00:00:00,34076.49,144.65,2186.26,509.82,135.75,4.308,0.6448,319.68,2.797,0.2501,0.2294,33934.31,146.88,2324.72,510.77,137.75,3.838,0.6541,328.22,2.896,0.2598,0.2246
2021-07-10 00:00:00,34253.5,141.4,2190.77,501.72,134.26,4.424,0.6485,321.5,2.836,0.2536,0.2276,34076.49,144.65,2186.26,509.82,135.75,4.308,0.6448,319.68,2.797,0.2501,0.2294
2021-07-11 00:00:00,34595.69,141.96,2173.19,509.63,137.34,4.171,0.6437,326.74,2.889,0.2549,0.2187,34253.5,141.4,2190.77,501.72,134.26,4.424,0.6485,321.5,2.836,0.2536,0.2276
2021-07-12 00:00:00,34658.46,142.02,2168.12,489.05,139.61,4.377,0.6571,334.28,2.951,0.2588,0.2188,34595.69,141.96,2173.19,509.63,137.34,4.171,0.6437,326.74,2.889,0.2549,0.2187
2021-07-13 00:00:00,33335.54,138.94,2046.08,477.31,134.09,4.209,0.6419,318.22,2.916,0.2435,0.2083,34658.46,142.02,2168.12,489.05,139.61,4.377,0.6571,334.28,2.951,0.2588,0.2188
2021-07-14 00:00:00,33099.2,138.99,2019.42,478.12,132.33,3.925,0.6251,313.41,2.818,0.2448,0.2044,33335.54,138.94,2046.08,477.31,134.09,4.209,0.6419,318.22,2.916,0.2435,0.2083
2021-07-15 00:00:00,33188.54,129.51,2039.24,460.17,133.02,3.916,0.6264,324.21,2.75,0.2433,0.2007,33099.2,138.99,2019.42,478.12,132.33,3.925,0.6251,313.41,2.818,0.2448,0.2044
2021-07-16 00:00:00,32256.94,128.02,1964.79,456.27,127.82,3.832,0.6186,323.37,2.641,0.2577,0.1882,33188.54,129.51,2039.24,460.17,133.02,3.916,0.6264,324.21,2.75,0.2433,0.2007
2021-07-17 00:00:00,31966.25,124.2,1918.93,446.07,122.86,3.778,0.5977,306.89,2.481,0.2384,0.2172,32256.94,128.02,1964.79,456.27,127.82,3.832,0.6186,323.37,2.641,0.2577,0.1882
2021-07-18 00:00:00,32446.17,125.48,1993.26,448.79,124.02,3.774,0.6013,309.22,2.494,0.2405,0.1959,31966.25,124.2,1918.93,446.07,122.86,3.778,0.5977,306.89,2.481,0.2384,0.2172
2021-07-19 00:00:00,31907.17,120.55,1918.43,441.31,120.64,3.681,0.5892,303.73,2.449,0.2311,0.1839,32446.17,125.48,1993.26,448.79,124.02,3.774,0.6013,309.22,2.494,0.2405,0.1959
2021-07-20 00:00:00,31063.88,115.4,1840.59,422.07,114.94,3.542,0.5692,283.35,2.333,0.2154,0.1795,31907.17,120.55,1918.43,441.31,120.64,3.681,0.5892,303.73,2.449,0.2311,0.1839
